著者,著書数,全体に対する割合［％］,累計
NHK放送文化研究所／編,34,3.84,4
日本放送協会／編,34,3.84,8
,25,2.82,11
フジテレビトリビア普及委員会／編,19,2.14,13
日本民間放送連盟／編,16,1.81,14
志賀 信夫／著,9,1.02,15
有山 輝雄／監修,8,0.90,16
NHK放送文化研究所／編集,7,0.79,17
日本放送協会放送文化研究所放送情報調査部／編,7,0.79,18
日本放送協会／編集,7,0.79,19
西 正／著,7,0.79,20
メディア総合研究所／編,6,0.68,20
松尾 羊一／著,4,0.45,21
竹山 昭子／著,4,0.45,21
田原 総一朗／著,4,0.45,22
小田桐 誠／著,4,0.45,22
吉田 直哉／著,4,0.45,22
大下 英治／著,4,0.45,23
テレビ欄研究会／編・著,4,0.45,23
有馬 哲夫／著,4,0.45,24
長谷川 豊／著,4,0.45,24
今野 勉／著,4,0.45,25
日本放送協会放送文化調査研究所放送情報調査部／編,4,0.45,25
岡村 黎明／著,4,0.45,26
松田 浩／著,4,0.45,26
和田 勉／著,3,0.34,26
津田 正夫／編,3,0.34,27
藤村 忠寿／著,3,0.34,27
TBSテレビ／編,3,0.34,27
NHK放送世論調査所／編,3,0.34,28
菊地 成孔／著,3,0.34,28
河村 雅隆／著,3,0.34,28
木村 太郎／著,3,0.34,29
高島 彩／著,3,0.34,29
岩合 光昭／著,3,0.34,29
石井 清司／著,3,0.34,30
片岡 輝／総監修,3,0.34,30
金平 茂紀／著,3,0.34,30
山登 義明／著,3,0.34,31
藤竹 暁／著,3,0.34,31
小林 麻耶／著,3,0.34,32
桜井 均／著,2,0.23,32
嬉野 雅道／著,2,0.23,32
碓井 広義／著,2,0.23,32
太田 省一／著,2,0.23,32
小川 宏／著,2,0.23,33
石光 勝／著,2,0.23,33
吉田 正樹／著,2,0.23,33
NHK「チコちゃんに叱られる!」制作班／編,2,0.23,33
戸部田 誠／著,2,0.23,34
東京放送／編集,2,0.23,34
日本放送協会総合放送文化研究所放送史編修室／編集,2,0.23,34
大越 健介／著,2,0.23,34
テレビ欄研究会／編著,2,0.23,34
有働 由美子／著,2,0.23,35
伊沢 偉行／著,2,0.23,35
天野 ミチヒロ／著,2,0.23,35
永 六輔／著,2,0.23,35
猪瀬 直樹／著,2,0.23,36
小島 慶子／著,2,0.23,36
大山 勝美／著,2,0.23,36
ウルフマン・ジャック／著,2,0.23,36
NHK総合放送文化研究所／編,2,0.23,37
メディア業界ナビ編集室／編・著,2,0.23,37
冨板 敦／著,2,0.23,37
田原 茂行／著,2,0.23,37
青木 一雄／著,2,0.23,37
笑点探偵団／著,2,0.23,38
安藤 優子／著,2,0.23,38
日本放送協会放送文化研究所(メディア情報)／編,2,0.23,38
安達 元一／著,2,0.23,38
渡辺 考／著,2,0.23,39
佐藤 二雄／著,2,0.23,39
和田 秀樹／著,2,0.23,39
筑紫 哲也／著,2,0.23,39
佐藤 卓己／著,2,0.23,40
原 真／著,2,0.23,40
中野 明／著,2,0.23,40
堀 潤／著,2,0.23,40
大場 吾郎／著,2,0.23,40
堀川 とんこう／著,2,0.23,41
北山 節郎／著,2,0.23,41
大蔵 雄之助／著,2,0.23,41
ばば こういち／[著],2,0.23,41
桂 三枝／[著],2,0.23,42
小田嶋 隆／著,2,0.23,42
佐々木 守／著,2,0.23,42
津田 正夫／著,2,0.23,42
小川 榮太郎／著,2,0.23,43
山川 静夫／著,2,0.23,43
高橋 弘樹／著,2,0.23,43
鈴木 健二／著,2,0.23,43
伊予田 康弘／[ほか]執筆,2,0.23,43
TBSラジオ「ライムスター宇多丸のウィークエンド・シャッフル」／編,2,0.23,44
鈴木 おさむ／著,2,0.23,44
柴田 秀利／著,2,0.23,44
新藤 謙／著,2,0.23,44
小島 明／著,1,0.11,44
石田 佐恵子／編,1,0.11,45
多田 文明／著,1,0.11,45
原 麻里子／編著,1,0.11,45
村上 卓史／[著],1,0.11,45
天野川 ミク／著,1,0.11,45
原口 和久／著,1,0.11,45
『テレビサライ』編集部／編,1,0.11,45
保岡 裕之／著,1,0.11,45
征矢野 仁／著,1,0.11,45
「徹子の部屋」制作委員会／編,1,0.11,46
長谷 正人／編著,1,0.11,46
五月女 ケイ子／著,1,0.11,46
川内 一誠／著,1,0.11,46
小泉 哲郎／著,1,0.11,46
ピーター・ボイヤー／著,1,0.11,46
次山 信男／指導,1,0.11,46
川良 浩和／著,1,0.11,46
ドン・M.フラノイ／著,1,0.11,46
大山 勝美／責任編集,1,0.11,47
NHK国際局／編,1,0.11,47
ヒュー・マイルズ／著,1,0.11,47
NHK放送博物館／編,1,0.11,47
児島 和人／編著,1,0.11,47
フジテレビジョン／編,1,0.11,47
ロン・パワーズ／著,1,0.11,47
村上 信夫／著,1,0.11,47
伊藤 滋之／著,1,0.11,47
春日 教測／著,1,0.11,48
乙武 洋匡／著,1,0.11,48
奥村 健太／著,1,0.11,48
福田 裕昭／[著],1,0.11,48
P.バーワイズ／著,1,0.11,48
佐藤 精／著,1,0.11,48
柳澤 健／著,1,0.11,48
成沢 玲子／著,1,0.11,48
メアリー・メイプス／著,1,0.11,48
三宅 民夫／著,1,0.11,49
原島 由美子／著,1,0.11,49
酒井 昭／著,1,0.11,49
伊藤 友治／編著,1,0.11,49
吉川 圭三／著,1,0.11,49
[NHK放送博物館／編],1,0.11,49
宮崎 緑／[著],1,0.11,49
木村 由香里／著,1,0.11,49
川崎 泰資／著,1,0.11,49
横田 一／著,1,0.11,50
テレビ報道研究会／編,1,0.11,50
ラジオフォーラム／著,1,0.11,50
日本女性放送者懇談会／編,1,0.11,50
小倉 千加子／著,1,0.11,50
香取 俊介／著,1,0.11,50
田中 晃／[述],1,0.11,50
土屋 英雄／著,1,0.11,50
香山 リカ／著,1,0.11,50
菅 賢治／著,1,0.11,51
テレビについて話す会／編,1,0.11,51
浅生 鴨／著,1,0.11,51
睦月 影郎／著,1,0.11,51
引田 惣弥／著,1,0.11,51
秋場 たけお／著,1,0.11,51
片瀬 京子／著,1,0.11,51
金田 信一郎／著,1,0.11,51
田宮 武／編著,1,0.11,51
磯野 恭子／著,1,0.11,52
岡本 愛彦／著,1,0.11,52
島 桂次／著,1,0.11,52
小林 信彦／著,1,0.11,52
ブルース・カミングス／[著],1,0.11,52
玉置 宏／[著],1,0.11,52
ヒルズ水島／著,1,0.11,52
仲築間 卓蔵／著,1,0.11,52
後藤 繁榮／著,1,0.11,52
藤井 青銅／著,1,0.11,53
西村 泰重／著,1,0.11,53
下川 美奈／著,1,0.11,53
小山 和伸／著,1,0.11,53
長江 俊和／著,1,0.11,53
根本 敬／著,1,0.11,53
秋島 百合子／著,1,0.11,53
郵政省放送行政局企画課／編,1,0.11,53
白井 隆二／著,1,0.11,53
川本 裕司／著,1,0.11,54
デイヴィッド・ウォルシュ／著,1,0.11,54
友井 健人／[ほか]著,1,0.11,54
放送批評懇談会／編,1,0.11,54
稲田 植輝／著,1,0.11,54
はかま 満緒／著,1,0.11,54
内村 宏幸／著,1,0.11,54
青木 貞伸／著,1,0.11,54
岩男 寿美子／著,1,0.11,54
コ ジェハク／著,1,0.11,55
山本 草二／著,1,0.11,55
安倍 宏行／著,1,0.11,55
紺野 望／著,1,0.11,55
大橋 恭彦／著,1,0.11,55
TBSラジオ「相談は踊る」／編,1,0.11,55
国谷 裕子／著,1,0.11,55
西村 幸祐／著,1,0.11,55
NHK海外取材班／著,1,0.11,55
春川 正明／[著],1,0.11,55
ルーシー・ケント／著,1,0.11,56
池内 正人／著,1,0.11,56
長谷部 恭男／著,1,0.11,56
三宅 正治／著,1,0.11,56
フレッド・フレンドリー／著,1,0.11,56
バク天!総合研究所／[編],1,0.11,56
吉田 照幸／著,1,0.11,56
佐久間 昇二／著,1,0.11,56
坪内 祐三／著,1,0.11,56
大下 英治／[著],1,0.11,57
宇田川 悟／著,1,0.11,57
NHK／編,1,0.11,57
ロバート・メッツ／著,1,0.11,57
横沢 彪／著,1,0.11,57
平野 次郎／著,1,0.11,57
夏野 剛／[著],1,0.11,57
馬場 典子／著,1,0.11,57
ニコラス・ジョンソン／著,1,0.11,57
嬉野 雅道／[著],1,0.11,58
崔 銀姫／著,1,0.11,58
小池 正春／著,1,0.11,58
浅田 孝彦／著,1,0.11,58
田原 総一朗／[著],1,0.11,58
永井 譲治／著,1,0.11,58
林 秀彦／著,1,0.11,58
星 浩／著,1,0.11,58
YTV／編,1,0.11,58
橋本 潔／編・著,1,0.11,59
原 憲一／著,1,0.11,59
和田 千年／[著],1,0.11,59
ラリー遠田／著,1,0.11,59
武井 咲／著,1,0.11,59
川竹 和夫／編著,1,0.11,59
川口 幹夫／著,1,0.11,59
奥山 侊伸／著,1,0.11,59
町山 智浩／著,1,0.11,59
指南役／著,1,0.11,60
神戸 四郎／著,1,0.11,60
大多 亮／著,1,0.11,60
倉本 聡／著,1,0.11,60
マイケル・アーレン／著,1,0.11,60
福留 功男／編著,1,0.11,60
森山 直太朗／著,1,0.11,60
未来のテレビを考える会／編著,1,0.11,60
三宅 恵介／著,1,0.11,60
阿久 悠／著,1,0.11,61
上村 達男／著,1,0.11,61
川野 将一／著,1,0.11,61
村上 允俊／著,1,0.11,61
三原 康博／著,1,0.11,61
堀 宏／著,1,0.11,61
植村 鞆音／著,1,0.11,61
テレビ朝日「虎の門」うんちく王選定委員会／編,1,0.11,61
池上 彰／著,1,0.11,61
坂田 謙司／著,1,0.11,62
坂本 朝一／著,1,0.11,62
長野 辰次／著,1,0.11,62
日本放送協会放送文化研究所(メディア情報)／編集,1,0.11,62
スタンリー・クラウド／著,1,0.11,62
上野 友夫／著,1,0.11,62
林 茂樹／編著,1,0.11,62
塩沢 茂／著,1,0.11,62
草野 厚／著,1,0.11,62
大見 崇晴／著,1,0.11,63
日本放送作家協会／編,1,0.11,63
三反園 訓／著,1,0.11,63
放送経営比較研究会／編,1,0.11,63
池田 恵理子／著,1,0.11,63
マーティン・エスリン／著,1,0.11,63
吉田 潮／著,1,0.11,63
小張 アキコ／著,1,0.11,63
唐橋 ユミ／著,1,0.11,63
ルネ・ベルジェ／著,1,0.11,64
渡辺 みどり／著,1,0.11,64
豊田 拓臣／著,1,0.11,64
関口 宏／著,1,0.11,64
藤 みき生／漫画,1,0.11,64
中川 一徳／ほか著,1,0.11,64
窪田 ひろ子／著,1,0.11,64
日本放送協会／[著],1,0.11,64
文藝春秋／編,1,0.11,64
堀田 龍也／監修,1,0.11,65
丸山 俊一／著,1,0.11,65
北出 真紀恵／著,1,0.11,65
横沢 彪／[著],1,0.11,65
放送高度化ビジョン懇談会／編,1,0.11,65
原島　由美子／著,1,0.11,65
放送白書編集委員会／編集,1,0.11,65
坂本 勝／編著,1,0.11,65
岸田 功／著,1,0.11,65
斎藤 守慶／著,1,0.11,66
天野 祐吉／著,1,0.11,66
村木 良彦／著,1,0.11,66
近藤 晋／著,1,0.11,66
鈴木 寛／著,1,0.11,66
内野 安彦／編著,1,0.11,66
大川 貴史／著,1,0.11,66
新堀 通也／[ほか]編著,1,0.11,66
林家 たい平／著,1,0.11,66
海外番組販売検討委員会／編,1,0.11,66
小山内 豊彦／著,1,0.11,67
北川 隆吉／著,1,0.11,67
山田 修爾／著,1,0.11,67
山中 伊知郎／著,1,0.11,67
北郷 裕美／著,1,0.11,67
オルファ・ラムルム／著,1,0.11,67
三宅 弘／著,1,0.11,67
吉野 嘉高／著,1,0.11,67
後藤 和彦／編,1,0.11,67
テリー伊藤／著,1,0.11,68
今村 庸一／著,1,0.11,68
大塚 修造／著,1,0.11,68
簑葉 信弘／著,1,0.11,68
境 真良／著,1,0.11,68
田中 義久／編,1,0.11,68
境 治／著,1,0.11,68
坂本 慎一／著,1,0.11,68
秋山 ちえ子／[著],1,0.11,68
かこ さとし／さく,1,0.11,69
森川 ぐりん／著,1,0.11,69
丹羽 美之／編,1,0.11,69
海後 宗男／著,1,0.11,69
伊東 四朗／[著],1,0.11,69
結城 摂子／著,1,0.11,69
TBS世界陸上プロジェクトチーム／編,1,0.11,69
内多 勝康／著,1,0.11,69
NHK放送文化研究所／監修,1,0.11,69
高田 文夫／編著,1,0.11,70
中村 実生雄／編集,1,0.11,70
宮田 修／著,1,0.11,70
福田 秀和／著,1,0.11,70
杉山 茂／著,1,0.11,70
鈴木 秀美／編著,1,0.11,70
金山 勉／編,1,0.11,70
田宮 武／著,1,0.11,70
岩崎 達也／著,1,0.11,70
藤倉 修一／著,1,0.11,71
金子 明雄／著,1,0.11,71
文化放送／編,1,0.11,71
ロバート・ウィーナー／著,1,0.11,71
菅野　栄／編集,1,0.11,71
ピーター・バラカン／著,1,0.11,71
長谷川 晶一／著,1,0.11,71
伊藤 隆行／著,1,0.11,71
金沢 覚太郎／編著,1,0.11,71
高橋 浩／著,1,0.11,72
北村 充史／著,1,0.11,72
山本 浩／著,1,0.11,72
吉田 照美／著,1,0.11,72
亀和田 武／著,1,0.11,72
五歩一 勇／著,1,0.11,72
田原総一朗／著,1,0.11,72
金子 辰雄／著,1,0.11,72
新井 和子／著,1,0.11,72
柴 静／著,1,0.11,73
秋山 久／著,1,0.11,73
NHKサービスセンター／編集,1,0.11,73
みうら じゅん／著,1,0.11,73
北村 隆／著,1,0.11,73
河内 紀／著,1,0.11,73
島津 有理子／著,1,0.11,73
QRラジオマン・グループ／編著,1,0.11,73
ウィリアム・メロディ／著,1,0.11,73
桜井 哲夫／著,1,0.11,74
鎌田 正明／著,1,0.11,74
いとうせいこう&Ultimate Crew／監修・編,1,0.11,74
藤田 潔／著,1,0.11,74
大橋 未歩／著,1,0.11,74
長坂 信人／著,1,0.11,74
NHK制作班／著,1,0.11,74
河本 久廣／著,1,0.11,74
四家 秀治／著,1,0.11,74
小池 振一郎／著,1,0.11,75
日本放送出版協会／編,1,0.11,75
渋谷 光三／著,1,0.11,75
佐藤 弘道／著,1,0.11,75
野村 秀和／著,1,0.11,75
東京都情報連絡室報道部調査課／編集,1,0.11,75
横澤 彪／著,1,0.11,75
田村 隆／著,1,0.11,75
毎日新聞外信部／[著],1,0.11,75
中川 勇樹／著,1,0.11,76
宮川 大輔／著,1,0.11,76
亀渕 昭信／著,1,0.11,76
堤 江実／著,1,0.11,76
山田 智彦／著,1,0.11,76
道上 洋三／著,1,0.11,76
大倉 徹也／著,1,0.11,76
酒井 順子／著,1,0.11,76
中野 雅至／著,1,0.11,76
