著者,出版者,冊数,全体に対する割合［％］,累計
日本放送協会／編,日本放送出版協会,31,3.5,4
フジテレビトリビア普及委員会／編,講談社,19,2.14,6
NHK放送文化研究所／編,NHK出版,18,2.03,8
NHK放送文化研究所／編,日本放送出版協会,16,1.81,9
日本民間放送連盟／編,コーケン出版(発売),11,1.24,11
有山 輝雄／監修,ゆまに書房,8,0.9,12
日本放送協会放送文化研究所放送情報調査部／編,日本放送出版協会,7,0.79,12
日本放送協会／編集,日本放送出版協会,7,0.79,13
NHK放送文化研究所／編集,日本放送出版協会,7,0.79,14
メディア総合研究所／編,花伝社,6,0.68,15
日本放送協会放送文化調査研究所放送情報調査部／編,日本放送出版協会,4,0.45,15
大下 英治／著,講談社,4,0.45,16
テレビ欄研究会／編・著,TOブックス,4,0.45,16
河村 雅隆／著,ブロンズ新社,3,0.34,16
菊地 成孔／著,キノブックス,3,0.34,17
,東京ニュース通信社,3,0.34,17
,ほるぷ出版,3,0.34,17
岩合 光昭／著,クレヴィス,3,0.34,18
日本放送協会／編,ラジオサービスセンター,3,0.34,18
NHK放送世論調査所／編,日本放送出版協会,3,0.34,18
片岡 輝／総監修,岩崎書店,3,0.34,19
ばば こういち／[著],岩波書店,2,0.23,19
中野 明／著,秀和システム,2,0.23,19
,日本テレビ放送網,2,0.23,19
田原 総一朗／著,講談社,2,0.23,20
日本民間放送連盟／編,東洋経済新報社,2,0.23,20
高島 彩／著,小学館,2,0.23,20
,宝島社,2,0.23,20
田原 茂行／著,草思社,2,0.23,21
日本放送協会総合放送文化研究所放送史編修室／編集,日本放送出版協会,2,0.23,21
桂 三枝／[著],講談社,2,0.23,21
新藤 謙／著,三一書房,2,0.23,21
ウルフマン・ジャック／著,中央アート出版社,2,0.23,22
松田 浩／著,岩波書店,2,0.23,22
東京放送／編集,東京放送,2,0.23,22
松田 浩／著,双柿舎,2,0.23,22
日本放送協会放送文化研究所(メディア情報)／編,日本放送出版協会,2,0.23,22
伊予田 康弘／[ほか]執筆,自由国民社,2,0.23,23
石光 勝／著,新潮社,2,0.23,23
藤村 忠寿／著,イースト・プレス,2,0.23,23
冨板 敦／著,早稲田経営出版,2,0.23,23
猪瀬 直樹／著,小学館,2,0.23,24
津田 正夫／編,世界思想社,2,0.23,24
,ぴあ,2,0.23,24
岡村 黎明／著,朝日新聞社,2,0.23,24
TBSテレビ／編,朝日ソノラマ,2,0.23,24
小田嶋 隆／著,中央公論新社,2,0.23,25
松尾 羊一／著,メトロポリタン,2,0.23,25
有働 由美子／著,新潮社,2,0.23,25
小林 麻耶／著,小学館,2,0.23,25
笑点探偵団／著,河出書房新社,2,0.23,26
西 正／著,中央経済社,2,0.23,26
NHK総合放送文化研究所／編,日本放送出版協会,2,0.23,26
志賀 信夫／著,日本放送出版協会,2,0.23,26
NHK「チコちゃんに叱られる!」制作班／編,小学館,2,0.23,27
