出版者,出版数,全体に対する割合［％］,累計
日本放送出版協会,111,12.53,13
講談社,58,6.55,19
岩波書店,27,3.05,22
新潮社,24,2.71,25
小学館,22,2.48,27
NHK出版,19,2.14,29
筑摩書房,12,1.35,31
双葉社,11,1.24,32
コーケン出版(発売),11,1.24,33
朝日新聞社,10,1.13,34
世界思想社,9,1.02,35
ゆまに書房,9,1.02,36
ポプラ社,9,1.02,37
文藝春秋,9,1.02,39
河出書房新社,9,1.02,40
平凡社,9,1.02,41
PHP研究所,9,1.02,42
KADOKAWA,9,1.02,43
花伝社,8,0.90,43
光文社,8,0.90,44
東洋経済新報社,7,0.79,45
文芸春秋,7,0.79,46
朝日新聞出版,7,0.79,47
集英社,7,0.79,48
サイマル出版会,7,0.79,48
イースト・プレス,7,0.79,49
TOブックス,6,0.68,50
ダイヤモンド社,6,0.68,50
日本テレビ放送網,6,0.68,51
青弓社,6,0.68,52
扶桑社,6,0.68,53
ベストセラーズ,5,0.56,53
リベルタ出版,5,0.56,54
中央公論新社,5,0.56,54
日本評論社,5,0.56,55
日刊工業新聞社,5,0.56,55
三一書房,5,0.56,56
岩崎書店,5,0.56,56
東京ニュース通信社,5,0.56,57
明石書店,4,0.45,57
NTT出版,4,0.45,58
大和書房,4,0.45,58
ぺりかん社,4,0.45,59
毎日新聞社,4,0.45,59
ワニブックス,4,0.45,60
徳間書店,4,0.45,60
ぴあ,4,0.45,61
幻冬舎,4,0.45,61
キノブックス,4,0.45,62
慶應義塾大学出版会,4,0.45,62
現代書館,4,0.45,62
ミネルヴァ書房,4,0.45,63
東京大学出版会,4,0.45,63
TBSブリタニカ,4,0.45,64
丸善,4,0.45,64
洋泉社,4,0.45,65
岩崎放送出版社,4,0.45,65
メディアファクトリー,4,0.45,66
学研,4,0.45,66
日経BP社,4,0.45,66
宝島社,4,0.45,67
主婦の友社,4,0.45,67
草思社,4,0.45,68
学文社,3,0.34,68
NHK放送博物館,3,0.34,68
ラジオサービスセンター,3,0.34,69
ブロンズ新社,3,0.34,69
朝日ソノラマ,3,0.34,70
中央公論社,3,0.34,70
勁草書房,3,0.34,70
中央経済社,3,0.34,71
東京放送,3,0.34,71
大月書店,3,0.34,71
クレヴィス,3,0.34,72
早川書房,3,0.34,72
ほるぷ出版,3,0.34,72
マガジンハウス,3,0.34,73
教育社,3,0.34,73
秀和システム,3,0.34,73
京都大学学術出版会,2,0.23,73
NHKサービスセンター,2,0.23,74
早稲田経営出版,2,0.23,74
ワック,2,0.23,74
日本実業出版社,2,0.23,74
潮出版社,2,0.23,75
人文書院,2,0.23,75
自由国民社,2,0.23,75
ベースボール・マガジン社,2,0.23,75
日本能率協会マネジメントセンター,2,0.23,76
共同通信社,2,0.23,76
日本工業新聞社,2,0.23,76
双柿舎,2,0.23,76
角川書店,2,0.23,76
有斐閣,2,0.23,77
紀尾井書房,2,0.23,77
展望社,2,0.23,77
西日本出版社,2,0.23,77
